0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,0.0078125,0.,0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I,0.,0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125
0.,0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,0.0078125,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.-0.0078125*I,0.,-0.0078125,0.,0.,-0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,-0.0078125,0.,0.,-0.0078125,0.,0.-0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,-0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,0.0078125,0.
0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,-0.0078125,0.,-0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,-0.0078125,0.,0.,-0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,-0.0078125,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I
0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.-0.0078125*I,0.,-0.0078125,0.,0.,-0.0078125,0.,0.-0.0078125*I,0.,-0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,-0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125,0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125,0.,-0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,-0.0078125,0.,0.-0.0078125*I,0.,-0.0078125,0.,0.,-0.0078125,0.,0.-0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.
0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.-0.0078125*I,0.,-0.0078125,0.,0.,-0.0078125,0.,0.-0.0078125*I,0.,-0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,-0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125,0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125,0.,-0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,-0.0078125,0.,0.-0.0078125*I,0.,-0.0078125,0.,0.,-0.0078125,0.,0.-0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.
0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,-0.0078125,0.,-0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,-0.0078125,0.,0.,-0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,-0.0078125,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I
0.,0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,0.0078125,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.-0.0078125*I,0.,-0.0078125,0.,0.,-0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,-0.0078125,0.,0.,-0.0078125,0.,0.-0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,-0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,-0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,0.0078125,0.
0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,0.0078125,0.,0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I,0.,0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125
0.,-0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,-0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125,0.,0.-0.0078125*I,0.,-0.0078125,-0.0078125,0.,0.-0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I,0.,0.-0.0078125*I,0.,-0.0078125,-0.0078125,0.,0.-0.0078125*I,0.,0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125,0.,-0.0078125,0.,0.+0.0078125*I,0.+0.0078125*I,0.,-0.0078125,0.
0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,0.0078125,0.,0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.,0.+0.0078125*I,0.,0.0078125,0.0078125,0.,0.+0.0078125*I,0.,0.+0.0078125*I,0.,0.0078125,0.,0.,0.0078125,0.,0.+0.0078125*I,0.,0.0078125,0.,0.-0.0078125*I,0.-0.0078125*I,0.,0.0078125,0.,0.0078125,0.,0.-0.0078125*I,0.,0.,0.-0.0078125*I,0.,0.0078125
